JDTB,Calendar Date,DeltaT,X,Y,Z
2453310.500000000, A.D. 2004-Nov-01 00:00:00.0000,      64.182540,  1.162654141702765E+08,  9.301064782850733E+07, -1.615592822679132E+04,
2453340.500000000, A.D. 2004-Dec-01 00:00:00.0000,      64.183113,  5.332914846853769E+07,  1.376957517805521E+08, -1.711590667869151E+04,
2453371.500000000, A.D. 2005-Jan-01 00:00:00.0000,      64.183956, -2.642503544053319E+07,  1.445429251914676E+08, -1.741505497896671E+04,
2453402.500000000, A.D. 2005-Feb-01 00:00:00.0000,      64.184812, -9.829132327766153E+07,  1.092627142461263E+08, -1.698857699847221E+04,
2453430.500000000, A.D. 2005-Mar-01 00:00:00.0000,      64.185391, -1.390201786864051E+08,  4.966095222520231E+07, -1.646861361998320E+04,
2453461.500000000, A.D. 2005-Apr-01 00:00:00.0000,      64.185651, -1.459460718965271E+08, -2.922592600535848E+07, -1.553191504708305E+04,
2453491.500000000, A.D. 2005-May-01 00:00:00.0000,      64.185465, -1.137093850804497E+08, -9.811456910282010E+07, -1.493686981617659E+04,
2453522.500000000, A.D. 2005-Jun-01 00:00:00.0000,      64.184880, -4.990171663354708E+07, -1.429160382449179E+08, -1.487953619531542E+04,
2453552.500000000, A.D. 2005-Jul-01 00:00:00.0000,      64.184086,  2.494219433360472E+07, -1.499917482986480E+08, -1.528110757897794E+04,
2453583.500000000, A.D. 2005-Aug-01 00:00:00.0000,      64.183245,  9.573142991455676E+07, -1.181891371285839E+08, -1.614083022537082E+04,
2453614.500000000, A.D. 2005-Sep-01 00:00:00.0000,      64.182605,  1.411799115646137E+08, -5.490895601311931E+07, -1.710097339355201E+04,
2453644.500000000, A.D. 2005-Oct-01 00:00:00.0000,      64.182344,  1.489911048978665E+08,  2.067257797083028E+07, -1.800418913988024E+04,
2453675.500000000, A.D. 2005-Nov-01 00:00:00.0000,      64.182526,  1.166638580623240E+08,  9.288483639850357E+07, -1.865280381055921E+04,
2453705.500000000, A.D. 2005-Dec-01 00:00:00.0000,      64.183101,  5.391113887573805E+07,  1.378474573759305E+08, -1.905236865698546E+04,
2453736.500000000, A.D. 2006-Jan-01 00:00:00.0000,      64.183947, -2.583176934844410E+07,  1.450468062705728E+08, -1.909179646534473E+04,
2453767.500000000, A.D. 2006-Feb-01 00:00:00.0000,      65.184808, -9.787434438029964E+07,  1.100782692234884E+08, -1.880171116691828E+04,
2453795.500000000, A.D. 2006-Mar-01 00:00:00.0000,      65.185391, -1.388842763286456E+08,  5.064993733138296E+07, -1.790414672839269E+04,
2453826.500000000, A.D. 2006-Apr-01 00:00:00.0000,      65.185658, -1.461692817919760E+08, -2.822332721199888E+07, -1.700240596087463E+04,
2453856.500000000, A.D. 2006-May-01 00:00:00.0000,      65.185478, -1.142390396608026E+08, -9.726541686008197E+07, -1.605996400639415E+04,
2453887.500000000, A.D. 2006-Jun-01 00:00:00.0000,      65.184897, -5.062855108895454E+07, -1.423485846807958E+08, -1.528554012758285E+04,
2453917.500000000, A.D. 2006-Jul-01 00:00:00.0000,      65.184102,  2.417492229792180E+07, -1.497481176253933E+08, -1.492460132023692E+04,
2453948.500000000, A.D. 2006-Aug-01 00:00:00.0000,      65.183256,  9.508142988177346E+07, -1.182523283712688E+08, -1.497604804703593E+04,
2453979.500000000, A.D. 2006-Sep-01 00:00:00.0000,      65.182606,  1.407785628631884E+08, -5.518055393582860E+07, -1.557434824394807E+04,
2454009.500000000, A.D. 2006-Oct-01 00:00:00.0000,      65.182335,  1.489000770942370E+08,  2.034673698048231E+07, -1.653580642584618E+04,
